UniversityCode,MajorCode,MajorName,Method,SubjectCombination,MaxScore,Score,Note,SourceUrl
QST,7520403,Vật lý Y khoa,THPTQG,A02,30,24.60,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7520403,Vật lý Y khoa,THPTQG,D90,30,24.60,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7510401_DKD,Công nghệ Kỹ thuật Hóa học (CT tăng cường tiếng Anh),THPTQG,A00,30,25.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7510401_DKD,Công nghệ Kỹ thuật Hóa học (CT tăng cường tiếng Anh),THPTQG,B00,30,25.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7510401_DKD,Công nghệ Kỹ thuật Hóa học (CT tăng cường tiếng Anh),THPTQG,D07,30,25.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7510401_DKD,Công nghệ Kỹ thuật Hóa học (CT tăng cường tiếng Anh),THPTQG,D90,30,25.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7510402,Công nghệ Vật liệu,THPTQG,A00,30,24.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7510402,Công nghệ Vật liệu,THPTQG,A01,30,24.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7510402,Công nghệ Vật liệu,THPTQG,B00,30,24.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7510402,Công nghệ Vật liệu,THPTQG,D07,30,24.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7520501,Kỹ thuật Địa chất,THPTQG,A00,30,19.50,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7520501,Kỹ thuật Địa chất,THPTQG,A01,30,19.50,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7520501,Kỹ thuật Địa chất,THPTQG,B00,30,19.50,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7520501,Kỹ thuật Địa chất,THPTQG,D07,30,19.50,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
QST,7510406,Công nghệ Kỹ thuật Môi trường,THPTQG,A00,30,19.00,,https://hcmus.edu.vn/diem-chuan-phuong-thuc-xet-tuyen-dua-tren-ket-qua-ky-thi-tot-nghiep-thpt-2024/
