UniversityCode,MajorCode,MajorName,Method,SubjectCombination,MaxScore,Score
QST,7460108_DKD,Khoa học dữ liệu (Chương trình tăng cường tiếng Anh) (dự kiến),ĐGNL,,1200,
QST,7480101_TT,Khoa học máy tính (Chương trình Tiên tiến),THPTQG,A00,30,
QST,7480101_TT,Khoa học máy tính (Chương trình Tiên tiến),THPTQG,A01,30,
QST,7480101_TT,Khoa học máy tính (Chương trình Tiên tiến),THPTQG,B08,30,
QST,7480101_TT,Khoa học máy tính (Chương trình Tiên tiến),THPTQG,D07,30,
QST,7480101_TT,Khoa học máy tính (Chương trình Tiên tiến),THPTQG,X06,30,
QST,7480101_TT,Khoa học máy tính (Chương trình Tiên tiến),THPTQG,X26,30,
QST,7480101_TT,Khoa học máy tính (Chương trình Tiên tiến),ĐGNL,,1200,
QST,7480107,Trí tuệ nhân tạo,THPTQG,A00,30,
QST,7480107,Trí tuệ nhân tạo,THPTQG,A01,30,
QST,7480107,Trí tuệ nhân tạo,THPTQG,B08,30,
QST,7480107,Trí tuệ nhân tạo,THPTQG,D07,30,
QST,7480107,Trí tuệ nhân tạo,THPTQG,X06,30,
QST,7480107,Trí tuệ nhân tạo,THPTQG,X26,30,
QST,7480107,Trí tuệ nhân tạo,ĐGNL,,1200,
QST,7480201_DKD,Công nghệ thông tin (Chương trình tăng cường tiếng Anh),THPTQG,A00,30,
QST,7480201_DKD,Công nghệ thông tin (Chương trình tăng cường tiếng Anh),THPTQG,A01,30,
QST,7480201_DKD,Công nghệ thông tin (Chương trình tăng cường tiếng Anh),THPTQG,B08,30,
QST,7480201_DKD,Công nghệ thông tin (Chương trình tăng cường tiếng Anh),THPTQG,D07,30,
QST,7480201_DKD,Công nghệ thông tin (Chương trình tăng cường tiếng Anh),THPTQG,X06,30,
QST,7480201_DKD,Công nghệ thông tin (Chương trình tăng cường tiếng Anh),THPTQG,X26,30,
QST,7480201_DKD,Công nghệ thông tin (Chương trình tăng cường tiếng Anh),ĐGNL,,1200,
QST,7480201_NN,"Nhóm ngành máy tính và công nghệ thông tin (CNTT, Kỹ thuật phần mềm, Hệ thống thông tin, Khoa học máy tính)",THPTQG,A00,30,
QST,7480201_NN,"Nhóm ngành máy tính và công nghệ thông tin (CNTT, Kỹ thuật phần mềm, Hệ thống thông tin, Khoa học máy tính)",THPTQG,A01,30,
QST,7480201_NN,"Nhóm ngành máy tính và công nghệ thông tin (CNTT, Kỹ thuật phần mềm, Hệ thống thông tin, Khoa học máy tính)",THPTQG,B08,30,
QST,7480201_NN,"Nhóm ngành máy tính và công nghệ thông tin (CNTT, Kỹ thuật phần mềm, Hệ thống thông tin, Khoa học máy tính)",THPTQG,D07,30,
QST,7480201_NN,"Nhóm ngành máy tính và công nghệ thông tin (CNTT, Kỹ thuật phần mềm, Hệ thống thông tin, Khoa học máy tính)",THPTQG,X06,30,
QST,7480201_NN,"Nhóm ngành máy tính và công nghệ thông tin (CNTT, Kỹ thuật phần mềm, Hệ thống thông tin, Khoa học máy tính)",THPTQG,X26,30,
QST,7480201_NN,"Nhóm ngành máy tính và công nghệ thông tin (CNTT, Kỹ thuật phần mềm, Hệ thống thông tin, Khoa học máy tính)",ĐGNL,,1200,
QST,7510401_DKD,Công nghệ kỹ thuật Hóa học (Chương trình tăng cường tiếng Anh),THPTQG,A00,30,
QST,7510401_DKD,Công nghệ kỹ thuật Hóa học (Chương trình tăng cường tiếng Anh),THPTQG,B00,30,
QST,7510401_DKD,Công nghệ kỹ thuật Hóa học (Chương trình tăng cường tiếng Anh),THPTQG,C02,30,
QST,7510401_DKD,Công nghệ kỹ thuật Hóa học (Chương trình tăng cường tiếng Anh),THPTQG,D07,30,
QST,7510401_DKD,Công nghệ kỹ thuật Hóa học (Chương trình tăng cường tiếng Anh),THPTQG,X11,30,
QST,7510401_DKD,Công nghệ kỹ thuật Hóa học (Chương trình tăng cường tiếng Anh),THPTQG,X12,30,
QST,7510401_DKD,Công nghệ kỹ thuật Hóa học (Chương trình tăng cường tiếng Anh),ĐGNL,,1200,
QST,7510402,Công nghệ Vật liệu,THPTQG,A00,30,
QST,7510402,Công nghệ Vật liệu,THPTQG,A01,30,
QST,7510402,Công nghệ Vật liệu,THPTQG,B00,30,
QST,7510402,Công nghệ Vật liệu,THPTQG,C01,30,
QST,7510402,Công nghệ Vật liệu,THPTQG,C02,30,
QST,7510402,Công nghệ Vật liệu,THPTQG,D07,30,
QST,7510402,Công nghệ Vật liệu,ĐGNL,,1200,
QST,7510402_DKD,Công nghệ Vật liệu (Chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,A00,30,
QST,7510402_DKD,Công nghệ Vật liệu (Chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,A01,30,
QST,7510402_DKD,Công nghệ Vật liệu (Chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,B00,30,
QST,7510402_DKD,Công nghệ Vật liệu (Chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,C01,30,
QST,7510402_DKD,Công nghệ Vật liệu (Chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,C02,30,
QST,7510402_DKD,Công nghệ Vật liệu (Chương trình tăng cường tiếng Anh) (dự kiến),THPTQG,D07,30,
QST,7510402_DKD,Công nghệ Vật liệu (Chương trình tăng cường tiếng Anh) (dự kiến),ĐGNL,,1200,
QST,7510406,Công nghệ Kỹ thuật Môi trường,THPTQG,A00,30,
