UniversityCode,MajorCode,MajorName,Method,SubjectCombination,MaxScore,Score,SourceUrl
QST,7520403,Vật lý y khoa,THPTQG,C01,30,25.84,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7520501,Kỹ thuật địa chất,THPTQG,A00,30,22.70,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7520501,Kỹ thuật địa chất,THPTQG,A01,30,21.45,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7520501,Kỹ thuật địa chất,THPTQG,B00,30,21.45,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7520501,Kỹ thuật địa chất,THPTQG,C01,30,22.95,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7520501,Kỹ thuật địa chất,THPTQG,D01,30,21.15,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7520501,Kỹ thuật địa chất,THPTQG,D07,30,20.90,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7850101,Quản lý tài nguyên và môi trường,THPTQG,A00,30,22.00,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7850101,Quản lý tài nguyên và môi trường,THPTQG,A01,30,20.75,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7850101,Quản lý tài nguyên và môi trường,THPTQG,B00,30,20.75,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7850101,Quản lý tài nguyên và môi trường,THPTQG,C01,30,22.25,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7850101,Quản lý tài nguyên và môi trường,THPTQG,D07,30,20.25,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7140103,Công nghệ giáo dục,ĐGNL,,1200,797,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7420101,Sinh học,ĐGNL,,1200,696,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7420101_DKD,Sinh học (CT TCTA),ĐGNL,,1200,673,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7420201,Công nghệ Sinh học,ĐGNL,,1200,817,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7420201_DKD,Công nghệ Sinh học (CT TCTA),ĐGNL,,1200,800,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440102_DKD,Vật lý học (CT TCTA),ĐGNL,,1200,804,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440102_NN,"Nhóm ngành Vật lý học (CT: 150), Công nghệ Vật lý điện tử và tin học (CT: 60), Công nghệ bán dẫn (CT: 60)",ĐGNL,,1200,917,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
QST,7440112,Hóa học,ĐGNL,,1200,886,https://tuyensinh.hcmus.edu.vn/2025-diem-chuan-cac-phuong-thuc/
