Mã trường,Mã ngành xét tuyển,Tên ngành,Phương thức,Tổ hợp,Thang điểm,Điểm
DKB,7340406,Quản trị văn phòng,THPTQG,C00,30,14.00
DKB,7340406,Quản trị văn phòng,THPTQG,C03,30,14.00
DKB,7340406,Quản trị văn phòng,THPTQG,C04,30,14.00
DKB,7340406,Quản trị văn phòng,THPTQG,D01,30,14.00
DKB,7340406,Quản trị văn phòng,ĐGNL,,1200,466
DKB,7720201,Dược học,THPTQG,A00,30,19.00
DKB,7720201,Dược học,THPTQG,A11,30,19.00
DKB,7720201,Dược học,THPTQG,B00,30,19.00
DKB,7720201,Dược học,THPTQG,B03,30,19.00
DKB,7720201,Dược học,THPTQG,C02,30,19.00
DKB,7720201,Dược học,THPTQG,D01,30,19.00
DKB,7720201,Dược học,THPTQG,D07,30,19.00
DKB,7720201,Dược học,THPTQG,X10,30,19.00
DKB,7720201,Dược học,THPTQG,X11,30,19.00
DKB,7720201,Dược học,ĐGNL,,1200,803
